id_registro,dia_semana,turno,quantidade_lembretes,atraso_medio,medicamento_atrasado
R105,Segunda,Noite,5,35,1
R106,Segunda,Manhã,2,18,0
R107,Terça,Noite,5,26,1
R108,Sábado,Manhã,3,20,1
R109,Sábado,Manhã,5,10,1
R110,Sábado,Tarde,4,26,1
R111,Sexta,Noite,2,5,0
R112,Domingo,Manhã,2,11,0
R113,Sábado,Noite,5,17,1
R114,Segunda,Tarde,2,21,1
R115,Sábado,Tarde,1,0,0
R116,Sexta,Manhã,5,19,1
R117,Segunda,Tarde,5,24,1
R118,Domingo,Manhã,2,16,0
R119,Quarta,Noite,3,3,0
R120,Sábado,Noite,5,28,1
R121,Domingo,Noite,3,31,1
R122,Sexta,Noite,2,15,1
R123,Sábado,Manhã,2,6,0
R124,Terça,Manhã,4,9,0
R125,Quinta,Tarde,4,26,1
R126,Sábado,Manhã,3,22,1
R127,Segunda,Manhã,3,21,1
R128,Quinta,Manhã,3,9,0
R129,Sábado,Noite,1,3,1
R130,Quinta,Tarde,1,1,0
R131,Sexta,Noite,2,29,1
R132,Terça,Noite,1,27,1
R133,Quinta,Tarde,3,27,1
R134,Quarta,Noite,3,13,0
R135,Sexta,Tarde,4,23,1
R136,Quarta,Tarde,1,2,0
R137,Sexta,Tarde,2,19,1
R138,Sábado,Manhã,1,0,0
R139,Terça,Noite,5,17,1
R140,Terça,Tarde,1,5,0
R141,Domingo,Manhã,2,23,1
R142,Domingo,Tarde,5,25,1
R143,Sexta,Manhã,1,3,0
R144,Quinta,Noite,3,19,1
R145,Sábado,Manhã,1,15,0
R146,Segunda,Manhã,3,21,1
R147,Segunda,Tarde,4,16,1
R148,Segunda,Tarde,3,6,0
R149,Sexta,Manhã,4,12,1
R150,Quarta,Manhã,4,6,0
R151,Quarta,Tarde,2,23,1
R152,Domingo,Tarde,1,20,0
R153,Quarta,Manhã,3,0,0
R154,Sexta,Tarde,5,17,1
R155,Quinta,Manhã,2,5,0
R156,Quarta,Tarde,3,11,0
R157,Domingo,Manhã,5,14,1
R158,Quinta,Manhã,5,13,1
R159,Quinta,Tarde,4,18,1
R160,Segunda,Manhã,4,28,1
R161,Segunda,Manhã,4,9,0
R162,Sexta,Tarde,3,23,1
R163,Sábado,Tarde,1,13,0
R164,Quinta,Noite,4,21,1
R165,Segunda,Noite,5,31,1
R166,Sexta,Tarde,3,17,1
R167,Quarta,Tarde,4,12,0
R168,Quinta,Manhã,3,21,1
R169,Sexta,Tarde,5,14,1
R170,Quarta,Manhã,4,28,1
R171,Segunda,Tarde,4,24,1
R172,Sexta,Manhã,3,2,0
R173,Sábado,Manhã,1,21,1
R174,Quinta,Tarde,3,7,0
R175,Sexta,Noite,5,17,1
R176,Sexta,Manhã,4,15,0
R177,Quinta,Manhã,5,7,0
R178,Segunda,Noite,2,5,0
R179,Segunda,Manhã,2,10,0
R180,Sexta,Noite,4,20,1
